Wall time,Step,Value
1677516295.4906635,2406400,-5.368213176727295
1677516298.2924325,2410496,-5.321215629577637
1677516299.5563967,2412544,-5.276159763336182
1677516300.8400867,2414592,-5.251564025878906
1677516306.4493716,2422784,-5.265778064727783
1677516309.2269442,2426880,-5.2568488121032715
1677516312.0050433,2430976,-5.284267902374268
1677516314.772948,2435072,-5.334464073181152
1677516316.0453665,2437120,-5.341794490814209
1677516317.332795,2439168,-5.335841655731201
1677516321.7784379,2445312,-5.231612682342529
1677516323.0562057,2447360,-5.2233381271362305
1677516324.3644898,2449408,-5.228970050811768
1677516327.2270188,2453504,-5.216517925262451
1677516328.7517781,2455552,-5.211297035217285
1677516332.8089364,2461696,-5.192543029785156
1677516338.1537573,2469888,-5.186163902282715
1677516339.6822088,2471936,-5.179629802703857
1677516340.9432125,2473984,-5.178750991821289
1677516343.7645395,2478080,-5.1775617599487305
1677516349.3261847,2486272,-5.191882610321045
1677516350.64028,2488320,-5.182741641998291
1677516356.4001403,2496512,-5.157719612121582
1677516363.295743,2506752,-5.146185874938965
1677516366.0872567,2510848,-5.1407341957092285
1677516371.4370701,2519040,-5.144566535949707
1677516375.7878022,2525184,-5.185436725616455
1677516377.0629284,2527232,-5.1923112869262695
1677516384.0369952,2537472,-5.192824840545654
1677516386.8447008,2541568,-5.1703596115112305
1677516389.6601694,2545664,-5.141556262969971
1677516390.9163058,2547712,-5.1314592361450195
1677516392.1736512,2549760,-5.128247261047363
1677516394.965106,2553856,-5.125518798828125
1677516399.304949,2560000,-5.1249308586120605
1677516400.5887902,2562048,-5.12221097946167
1677516401.8832986,2564096,-5.117903232574463
1677516403.445429,2566144,-5.115122318267822
1677516406.2391198,2570240,-5.11807107925415
1677516408.7396502,2574336,-5.119956016540527
1677516410.2528102,2576384,-5.125845432281494
1677516414.3815062,2582528,-5.468505382537842
1677516415.6670146,2584576,-5.552042007446289
1677516424.1989064,2596864,-5.40924072265625
1677516429.8004756,2605056,-5.329381942749023
1677516436.6748207,2615296,-5.2515950202941895
1677516437.9535234,2617344,-5.241432189941406
1677516439.2117627,2619392,-5.236883163452148
1677516444.7583847,2627584,-5.1941728591918945
1677516448.9343386,2633728,-5.15447473526001
1677516455.8279219,2643968,-5.134650707244873
1677516460.1150053,2650112,-5.118295669555664
1677516466.9727666,2660352,-5.119913101196289
1677516468.2444847,2662400,-5.139406681060791
